Name,Image_link,Price,Product_link
Lilly - The Handbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_03973734-ed2a-4006-bd7a-44a6bb46533b_3024x.jpg?v=1692265088,"Rs. 5,999.00",https://kompanero.in/products/lilly-the-handbag?variant=45313388282139
Mandala - The Sling,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/G31A1945_3024x.jpg?v=1693390957,"Rs. 3,499.00",https://kompanero.in/products/mandala-the-sling?variant=46570078568731
Eadwald - The Laptop Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_a44e727d-b79d-4263-8de9-16649055107b_3024x.jpg?v=1692259178,"Rs. 3,999.00",https://kompanero.in/products/eadwald-the-laptop-bag?variant=45438575542555
Flora - The Sling,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_a615379d-bbbe-4a5c-a040-99900d8b6409_3024x.jpg?v=1693472851,"Rs. 4,498.00",https://kompanero.in/products/flora-the-sling?variant=46442313384219
Aaron -The Trolley,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_0cf1ac3b-d15b-491d-82c8-b40f1991c1a5_3024x.jpg?v=1693334904,"Rs. 26,999.00",https://kompanero.in/products/aaron-the-trolley?variant=46437082267931
Garrison - The Laptop Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_eae56088-52f6-438a-9059-c5200cb8321f_3024x.jpg?v=1690607053,"Rs. 12,598.00",https://kompanero.in/products/garrison-the-laptop-bag-1?variant=46469029626139
Patrice - The Messenger,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_096ac7f6-78f9-4b40-92be-b2e9aee1aa3d_3024x.jpg?v=1691737219,"Rs. 5,158.00",https://kompanero.in/products/patrice-the-messenger?variant=45327699935515
Madame - The Sling,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_3ab99110-c075-4a4b-a5b7-340da6232718_3024x.jpg?v=1692439571,"Rs. 4,999.00",https://kompanero.in/products/madame-the-sling?variant=45313777762587
Gore - The Portfolio Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_7cae5983-f8c1-4469-ae54-5ceeb16abcc9_3024x.jpg?v=1692364867,"Rs. 8,998.00",https://kompanero.in/products/gore-the-portfolio-bag?variant=45312602276123
Jones - The Portfolio Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/B-5096-COGNAC_1_3024x.jpg?v=1693395433,"Rs. 8,098.00",https://kompanero.in/products/jones-the-portfolio-bag?variant=46570522968347
Elroy - The Portfolio,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/B-10007-COGNAC_1_3024x.jpg?v=1693393037,"Rs. 9,599.00",https://kompanero.in/products/elroy-the-portfolio?variant=46570314170651
Marie - The Handbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/SRP_8654copycopy_3024x.jpg?v=1693570744,"Rs. 6,598.00",https://kompanero.in/products/marie-the-handbag?variant=46569239511323
