,Name,Image_link,Price,Product_link,Thumb_images,SKU
0,Lilly - The Handbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_03973734-ed2a-4006-bd7a-44a6bb46533b_3024x.jpg?v=1692265088,"Rs. 5,999.00",https://kompanero.in/products/lilly-the-handbag?variant=45313388282139,"['https://kompanero.in/cdn/shop/files/1_03973734-ed2a-4006-bd7a-44a6bb46533b.jpg?v=1692265088&width=320', 'https://kompanero.in/cdn/shop/files/2_414a31d3-afd1-430c-b304-ae9859ca90de.jpg?v=1692265089&width=320', 'https://kompanero.in/cdn/shop/files/3_761c16d7-4dd1-4ef0-86d8-1f66f23d659d.jpg?v=1692265089&width=320', 'https://kompanero.in/cdn/shop/files/4_18674dfa-a34d-44a2-9492-6dc67758601d.jpg?v=1692265089&width=320', 'https://kompanero.in/cdn/shop/files/5_1316a2e3-92c5-461a-86db-f15e8ba96668.jpg?v=1692265089&width=320', 'https://kompanero.in/cdn/shop/files/6_8563ce4c-30f7-4ef1-9142-c12c4740155b.jpg?v=1692265088&width=320', 'https://kompanero.in/cdn/shop/files/7_3041e750-2b6d-4fc5-b61f-933eb47f4cfa.jpg?v=1692265090&width=320', 'https://kompanero.in/cdn/shop/files/8_be578b8d-06d6-460f-b77b-0daaa2745c34.jpg?v=1692265089&width=320', 'https://kompanero.in/cdn/shop/files/9_05f391ad-e4c1-478b-a810-bbcfd13c4d31.jpg?v=1692265089&width=320', 'https://kompanero.in/cdn/shop/files/1_c46c3cce-239a-4904-98f5-c56a358f243d.jpg?v=1692265112&width=320', 'https://kompanero.in/cdn/shop/files/2_03497b0c-7bb5-45a6-aae7-69328e62985a.jpg?v=1692265113&width=320', 'https://kompanero.in/cdn/shop/files/3_981bd668-2ca8-4541-8ae7-6637f691558a.jpg?v=1692265112&width=320', 'https://kompanero.in/cdn/shop/files/4_e22c98d6-787e-4a20-b69d-5a366005deb5.jpg?v=1692265113&width=320', 'https://kompanero.in/cdn/shop/files/5_fdd74c8b-7efa-452b-9684-a8a07217f257.jpg?v=1692265113&width=320', 'https://kompanero.in/cdn/shop/files/6_48a188cb-7514-481d-8fa1-0bef8bda4988.jpg?v=1692265112&width=320', 'https://kompanero.in/cdn/shop/files/7_5dd83624-6b78-4838-bd27-58ec09631d14.jpg?v=1692265113&width=320', 'https://kompanero.in/cdn/shop/files/8_94fb188b-58e3-4f8a-9d44-d524ac50642c.jpg?v=1692265113&width=320', 'https://kompanero.in/cdn/shop/files/9_06f775ad-12b3-416d-9283-d2b31fd03231.jpg?v=1692265113&width=320']","SKU: B-10710
"
1,Mandala - The Sling,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/G31A1945_3024x.jpg?v=1693390957,"Rs. 3,499.00",https://kompanero.in/products/mandala-the-sling?variant=46570078568731,"['https://kompanero.in/cdn/shop/files/G31A1945.jpg?v=1693390957&width=320', 'https://kompanero.in/cdn/shop/files/G31A1946.jpg?v=1693390958&width=320', 'https://kompanero.in/cdn/shop/files/G31A1948.jpg?v=1693390958&width=320', 'https://kompanero.in/cdn/shop/files/G31A1949.jpg?v=1693390957&width=320', 'https://kompanero.in/cdn/shop/files/G31A1950.jpg?v=1693390957&width=320', 'https://kompanero.in/cdn/shop/files/G31A1951.jpg?v=1693390957&width=320', 'https://kompanero.in/cdn/shop/files/G31A1952.jpg?v=1693390958&width=320']","SKU: B-9248
"
2,Eadwald - The Laptop Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_a44e727d-b79d-4263-8de9-16649055107b_3024x.jpg?v=1692259178,"Rs. 3,999.00",https://kompanero.in/products/eadwald-the-laptop-bag?variant=45438575542555,"['https://kompanero.in/cdn/shop/files/1_a44e727d-b79d-4263-8de9-16649055107b.jpg?v=1692259178&width=320', 'https://kompanero.in/cdn/shop/files/2_ce7b771e-332f-46bd-a72c-843690a905e2.jpg?v=1692259178&width=320', 'https://kompanero.in/cdn/shop/files/3_6e1691dd-9a37-42ce-baa7-2fef3ce7380f.jpg?v=1692259178&width=320', 'https://kompanero.in/cdn/shop/files/4_cd13ea01-6942-4fe4-bd13-41dceaccb6dd.jpg?v=1692259179&width=320', 'https://kompanero.in/cdn/shop/files/5_ccb44385-81f9-4418-b0ae-7f7d23cc4f03.jpg?v=1692259178&width=320', 'https://kompanero.in/cdn/shop/files/6_5ed92b61-bc2e-444c-939d-b4fde28a46f4.jpg?v=1692259179&width=320', 'https://kompanero.in/cdn/shop/files/1_dcc4bd2a-6cda-4e11-a455-84043c1395f8.jpg?v=1692259218&width=320', 'https://kompanero.in/cdn/shop/files/2_3aaf9715-e667-43a5-9051-98101ca4d686.jpg?v=1692259219&width=320', 'https://kompanero.in/cdn/shop/files/3_f735470e-ee6e-4792-8694-3bfd4dcc85ae.jpg?v=1692259218&width=320', 'https://kompanero.in/cdn/shop/files/4_86ab551c-4965-40cb-9a81-57c04131eef6.jpg?v=1692259219&width=320', 'https://kompanero.in/cdn/shop/files/5_b97b08f8-21b6-4de2-ba5e-d821a66ed25b.jpg?v=1692259219&width=320', 'https://kompanero.in/cdn/shop/files/6_2c686442-a3c3-475a-b2ab-e8b364dbcd74.jpg?v=1692259219&width=320']","SKU: B-6018
"
3,Flora - The Sling,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_a615379d-bbbe-4a5c-a040-99900d8b6409_3024x.jpg?v=1693472851,"Rs. 4,498.00",https://kompanero.in/products/flora-the-sling?variant=46442313384219,"['https://kompanero.in/cdn/shop/files/1_a615379d-bbbe-4a5c-a040-99900d8b6409.jpg?v=1693472851&width=320', 'https://kompanero.in/cdn/shop/files/3_4a758891-4251-4b1a-8b51-6efef8a3d48b.jpg?v=1693472852&width=320', 'https://kompanero.in/cdn/shop/files/4_237c02bb-ece2-4e91-b3c8-0de19743aefd.jpg?v=1693472852&width=320', 'https://kompanero.in/cdn/shop/files/5_482231a6-1f81-4679-ad41-a0ddb05057ce.jpg?v=1693472852&width=320', 'https://kompanero.in/cdn/shop/files/6_fb4dec13-8f84-4d4a-90a3-78de87c45122.jpg?v=1693472852&width=320', 'https://kompanero.in/cdn/shop/files/2_e7e6bc6e-dfec-42d1-991d-3f1cac1495f4.jpg?v=1693472858&width=320']","SKU: B-7267
"
4,Aaron -The Trolley,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_0cf1ac3b-d15b-491d-82c8-b40f1991c1a5_3024x.jpg?v=1693334904,"Rs. 26,999.00",https://kompanero.in/products/aaron-the-trolley?variant=46437082267931,"['https://kompanero.in/cdn/shop/files/1_0cf1ac3b-d15b-491d-82c8-b40f1991c1a5.jpg?v=1693334904&width=320', 'https://kompanero.in/cdn/shop/files/2_b87dcda2-4759-4aeb-b01e-c3f7377df17f.jpg?v=1693334902&width=320', 'https://kompanero.in/cdn/shop/files/3_0de99ccd-d023-46c1-af0f-b9c7c7626b2e.jpg?v=1693334904&width=320', 'https://kompanero.in/cdn/shop/files/4_49ba7d45-60e4-43e0-98c2-66b5583c961c.jpg?v=1693334902&width=320', 'https://kompanero.in/cdn/shop/files/5_2ac1b46f-24e1-4626-9f76-9d2be3be6c8a.jpg?v=1693334903&width=320', 'https://kompanero.in/cdn/shop/files/6_944d3d22-3dca-40ac-9d88-a905793accb0.jpg?v=1693334904&width=320', 'https://kompanero.in/cdn/shop/files/7_cb66f063-7e54-4395-aca6-d274d515c882.jpg?v=1693334903&width=320', 'https://kompanero.in/cdn/shop/files/8_cb0aa0e1-f87c-4a5b-a519-df19a442acfb.jpg?v=1693334903&width=320', 'https://kompanero.in/cdn/shop/files/9_5be6b14b-0605-41f5-a5c1-45d161f823cb.jpg?v=1693334903&width=320', 'https://kompanero.in/cdn/shop/files/10_e5f8b2d0-b3f6-4fad-8953-e0bb62e1c8de.jpg?v=1693334903&width=320']","SKU: T-0025
"
5,Garrison - The Laptop Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_eae56088-52f6-438a-9059-c5200cb8321f_3024x.jpg?v=1690607053,"Rs. 12,598.00",https://kompanero.in/products/garrison-the-laptop-bag-1?variant=46469029626139,"['https://kompanero.in/cdn/shop/files/1_eae56088-52f6-438a-9059-c5200cb8321f.jpg?v=1690607053&width=320', 'https://kompanero.in/cdn/shop/files/2_34a14353-1e27-448e-b660-7040f61f0f11.jpg?v=1690607070&width=320', 'https://kompanero.in/cdn/shop/files/3_5df64ecd-4b33-4171-844d-580f85d1b26e.jpg?v=1690607069&width=320', 'https://kompanero.in/cdn/shop/files/4_1f7bcfc6-03e2-4133-b0c2-160aabb4fddb.jpg?v=1690607070&width=320', 'https://kompanero.in/cdn/shop/files/5_7e1316f9-12bd-412b-b81c-6ab8a61b8895.jpg?v=1690607069&width=320', 'https://kompanero.in/cdn/shop/files/6_c76d0c5a-ba5a-464c-b879-9163e8a20ae4.jpg?v=1690607071&width=320', 'https://kompanero.in/cdn/shop/files/7_ef36b68e-e102-49e3-8951-44898ad819a5.jpg?v=1690607069&width=320', 'https://kompanero.in/cdn/shop/files/1_dcaea27e-5695-4da1-888d-7347286d1d44.jpg?v=1690607097&width=320', 'https://kompanero.in/cdn/shop/files/2_61cb5696-fa29-454c-a69b-f11e4d83a869.jpg?v=1690607097&width=320', 'https://kompanero.in/cdn/shop/files/3_a043ba58-c32b-4fda-8b58-fba4f82ddbaa.jpg?v=1690607097&width=320', 'https://kompanero.in/cdn/shop/files/4_691abe74-247c-43be-8c0e-3200f263438d.jpg?v=1690607096&width=320', 'https://kompanero.in/cdn/shop/files/5_7e34697c-4f24-4703-91d2-8c903d8c5d21.jpg?v=1690607096&width=320', 'https://kompanero.in/cdn/shop/files/6_62d37d13-ab7c-4330-8341-cfd33eac2f1d.jpg?v=1690607097&width=320', 'https://kompanero.in/cdn/shop/files/7_9d6a3446-e391-407e-8286-854d940809ab.jpg?v=1690607097&width=320', 'https://kompanero.in/cdn/shop/files/1_bb670df7-3404-40e6-ad79-cac000d9421a.jpg?v=1690607121&width=320', 'https://kompanero.in/cdn/shop/files/2_153a8d35-91a9-40bd-890e-6d73ac28a93f.jpg?v=1690607121&width=320', 'https://kompanero.in/cdn/shop/files/3_60706e9b-1b0a-4463-bb03-80657a335b82.jpg?v=1690607121&width=320', 'https://kompanero.in/cdn/shop/files/4_9c1275a0-8876-464c-a379-c03e30c6a5ed.jpg?v=1690607121&width=320', 'https://kompanero.in/cdn/shop/files/5_56e46503-9e04-4cc4-a496-3c7cbf883042.jpg?v=1690607120&width=320', 'https://kompanero.in/cdn/shop/files/6_2694976d-d079-42e4-b6b1-3f9e3134410e.jpg?v=1690607120&width=320', 'https://kompanero.in/cdn/shop/files/7_ac50891a-4823-4eb7-aac9-4784fc089a68.jpg?v=1690607121&width=320']","SKU: B-11296
"
6,Patrice - The Messenger,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_096ac7f6-78f9-4b40-92be-b2e9aee1aa3d_3024x.jpg?v=1691737219,"Rs. 5,158.00",https://kompanero.in/products/patrice-the-messenger?variant=45327699935515,"['https://kompanero.in/cdn/shop/files/1_096ac7f6-78f9-4b40-92be-b2e9aee1aa3d.jpg?v=1691737219&width=320', 'https://kompanero.in/cdn/shop/files/2_3ae87272-20ae-48b6-999c-a5bc946661db.jpg?v=1691737219&width=320', 'https://kompanero.in/cdn/shop/files/3_ed1e874f-b95d-4512-b17b-eae1514a0422.jpg?v=1691737219&width=320', 'https://kompanero.in/cdn/shop/files/4_e3a499af-0948-402e-a36d-059a9c871667.jpg?v=1691737219&width=320', 'https://kompanero.in/cdn/shop/files/5_9bb0096e-756f-4f4e-8a45-cbc401d332cb.jpg?v=1691737218&width=320', 'https://kompanero.in/cdn/shop/files/6_7d658dba-83b6-44c2-b868-fb76ae1aedd6.jpg?v=1691737219&width=320', 'https://kompanero.in/cdn/shop/files/1_f4dd8cd4-998a-482c-9f83-50fbcfcf7b23.jpg?v=1691737238&width=320', 'https://kompanero.in/cdn/shop/files/2_2cb28ba8-a7bf-4b92-b755-79c15b3d4697.jpg?v=1691737238&width=320', 'https://kompanero.in/cdn/shop/files/3_36d40442-ca10-44da-89dd-9532df1908a4.jpg?v=1691737239&width=320', 'https://kompanero.in/cdn/shop/files/4_2369ae17-c0de-4420-a97d-8039a074febf.jpg?v=1691737239&width=320', 'https://kompanero.in/cdn/shop/files/5_95a56d37-45e4-4aa9-b1d2-052c08f5766b.jpg?v=1691737238&width=320', 'https://kompanero.in/cdn/shop/files/6_43951340-5a39-4e06-aaea-d262f84be06c.jpg?v=1691737238&width=320', 'https://kompanero.in/cdn/shop/files/7_ee424f4f-8b39-41cf-a153-8085e070008e.jpg?v=1691737239&width=320']","SKU: B-10002
"
7,Madame - The Sling,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_3ab99110-c075-4a4b-a5b7-340da6232718_3024x.jpg?v=1692439571,"Rs. 4,999.00",https://kompanero.in/products/madame-the-sling?variant=45313777762587,"['https://kompanero.in/cdn/shop/files/1_3ab99110-c075-4a4b-a5b7-340da6232718.jpg?v=1692439570&width=320', 'https://kompanero.in/cdn/shop/files/2_38ddd1a1-dfe3-45c6-ae4d-6ce361d29460.jpg?v=1692439570&width=320', 'https://kompanero.in/cdn/shop/files/3_a6410a86-a386-4107-87c6-3b44a8d221ff.jpg?v=1692439569&width=320', 'https://kompanero.in/cdn/shop/files/4_67d7e338-28db-4459-ab71-01bf9691e924.jpg?v=1692439570&width=320', 'https://kompanero.in/cdn/shop/files/5_6d0e6cec-125e-40a4-ae87-24710a157ac3.jpg?v=1692439570&width=320', 'https://kompanero.in/cdn/shop/files/6_01a59af5-19a3-4208-b847-25d55dfa57d3.jpg?v=1692439570&width=320', 'https://kompanero.in/cdn/shop/files/1_10778529-9fd7-4a25-807d-d93a30515add.jpg?v=1692439585&width=320', 'https://kompanero.in/cdn/shop/files/2_07e91feb-5084-4238-8ac3-3dd69d32e063.jpg?v=1692439584&width=320', 'https://kompanero.in/cdn/shop/files/3_66b081ff-9009-4a42-8a44-3d4a7bc61b33.jpg?v=1692439585&width=320', 'https://kompanero.in/cdn/shop/files/4_0d2bd5c2-5a23-4c2b-a68b-29481179d4cb.jpg?v=1692439584&width=320', 'https://kompanero.in/cdn/shop/files/5_b1e522d3-d78e-4cdc-a38a-697bc33f2f0e.jpg?v=1692439585&width=320']","SKU: B-9745
"
8,Gore - The Portfolio Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_7cae5983-f8c1-4469-ae54-5ceeb16abcc9_3024x.jpg?v=1692364867,"Rs. 8,998.00",https://kompanero.in/products/gore-the-portfolio-bag?variant=45312602276123,"['https://kompanero.in/cdn/shop/files/1_7cae5983-f8c1-4469-ae54-5ceeb16abcc9.jpg?v=1692364867&width=320', 'https://kompanero.in/cdn/shop/files/2_213be042-28ed-4754-a9db-69b4835becf8.jpg?v=1692364867&width=320', 'https://kompanero.in/cdn/shop/files/3_11f35227-4b45-445c-bfd8-314ca100c4fc.jpg?v=1692364867&width=320', 'https://kompanero.in/cdn/shop/files/4_64a65a2c-cb96-4c7b-85b5-54ad670d675a.jpg?v=1692364867&width=320', 'https://kompanero.in/cdn/shop/files/5_90805211-ae0e-4dab-9e6a-2609d0a8acc2.jpg?v=1692364868&width=320', 'https://kompanero.in/cdn/shop/files/6_634d05f6-90ad-42e0-b8ef-d549380dda7b.jpg?v=1692364867&width=320', 'https://kompanero.in/cdn/shop/files/7_da20d1e1-e4c8-4d59-964f-1c3572e2b765.jpg?v=1692364868&width=320', 'https://kompanero.in/cdn/shop/files/1_1d5fd1d1-63f7-4e70-9acd-c70b1c8efbb4.jpg?v=1692364879&width=320', 'https://kompanero.in/cdn/shop/files/2_ac6c7384-a4c6-47cb-afa2-e972be65bc1d.jpg?v=1692364879&width=320', 'https://kompanero.in/cdn/shop/files/3_987cba7c-2996-4163-92ed-93a230b1aff1.jpg?v=1692364878&width=320', 'https://kompanero.in/cdn/shop/files/4_0e748dcc-120d-4d5e-b21b-daa26c9ca4d3.jpg?v=1692364879&width=320', 'https://kompanero.in/cdn/shop/files/5_3a318a48-b2b8-4356-a9a9-2c8f7cf7d2dd.jpg?v=1692364879&width=320', 'https://kompanero.in/cdn/shop/files/6_cf24c7ce-34b4-4636-a01f-5082f721d8bc.jpg?v=1692364879&width=320', 'https://kompanero.in/cdn/shop/files/7_a0c2fa6c-bfbd-4ca6-a380-cb6d653db7d1.jpg?v=1692364878&width=320']","SKU: B-7320
"
9,Jones - The Portfolio Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/B-5096-COGNAC_1_3024x.jpg?v=1693395433,"Rs. 8,098.00",https://kompanero.in/products/jones-the-portfolio-bag?variant=46570522968347,"['https://kompanero.in/cdn/shop/files/B-5096-COGNAC_1.jpg?v=1693395433&width=320', 'https://kompanero.in/cdn/shop/files/B-5096-COGNAC_3.jpg?v=1693395433&width=320', 'https://kompanero.in/cdn/shop/files/B-5096-COGNAC_4.jpg?v=1693395432&width=320', 'https://kompanero.in/cdn/shop/files/B-5096-COGNAC_5.jpg?v=1693395433&width=320', 'https://kompanero.in/cdn/shop/files/B-5096-COGNAC_6.jpg?v=1693395432&width=320', 'https://kompanero.in/cdn/shop/files/B-5096-COGNAC_2.jpg?v=1693395432&width=320', 'https://kompanero.in/cdn/shop/files/B-5096-COGNAC_7.jpg?v=1693395432&width=320']","SKU: B-5096
"
