Name,Image_link,Price
Mandala - The Sling,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/G31A1945_3024x.jpg?v=1693390957,"Rs. 3,499.00"
Eadwald - The Laptop Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_a44e727d-b79d-4263-8de9-16649055107b_3024x.jpg?v=1692259178,"Rs. 3,999.00"
Nova - The Slingbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/B-11920.K-ANVBLUE-1_3024x.jpg?v=1693646659,"Rs. 7,998.00"
Aaron - The Backpack,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/B-12281.K-COGNAC-1_3024x.jpg?v=1693636963,"Rs. 15,999.00"
Athena - The Crossbody,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/B-11827K-DENIM-1_3024x.jpg?v=1693510247,"Rs. 5,997.00"
Haida - The Sling,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/G31A2023_3024x.jpg?v=1693633472,"Rs. 3,999.00"
Diana - The Slingbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_c23698a0-7515-42e5-8282-59d08a40dd17_3024x.jpg?v=1693474763,"Rs. 5,997.00"
Flora - The Sling,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_a615379d-bbbe-4a5c-a040-99900d8b6409_3024x.jpg?v=1693472851,"Rs. 4,498.00"
Garrison - The Laptop Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_eae56088-52f6-438a-9059-c5200cb8321f_3024x.jpg?v=1690607053,"Rs. 12,598.00"
Floret - The Shoulder Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_abdf4d3c-d897-4af5-ad98-c3c91a5b7117_3024x.jpg?v=1692616830,"Rs. 13,998.00"
Madame - The Sling,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_3ab99110-c075-4a4b-a5b7-340da6232718_3024x.jpg?v=1692439571,"Rs. 4,999.00"
Lilly - The Handbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_03973734-ed2a-4006-bd7a-44a6bb46533b_3024x.jpg?v=1692265088,"Rs. 5,999.00"
